State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Uttar_Pradesh,18,1,2022,3,4,0,1,Umar Ali Khan,M,SP,134513,44,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,47.81,no,37880,13.46,2.63,AEUP105072,State-based Party,7425,TRUE,2,SP,7425,BEHAT,TRUE,TRUE,1,FALSE,FALSE,FALSE,Post Graduate,Business,Rent,,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,2,Naresh Saini,M,BJP,96633,57,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,34.34,no,51558,18.32,2.63,AEUP102026,National Party,1605,TRUE,2,INC,3482,BEHAT,TRUE,FALSE,1,TRUE,TRUE,TRUE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,3,Rais Malik,M,BSP,45075,54,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,16.02,yes,43443,15.44,2.63,AEUP2025294,State-based Party,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Business,,,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,4,Poonam Kamboj,F,INC,1632,36,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,0.58,yes,470,0.17,2.63,AEUP2025295,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,Private Company,,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,5,Sushil Kumar,M,AAAP,1162,38,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,0.41,yes,45,0.02,2.63,AEUP2025293,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Business,,Agriculture,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,6,None Of The Above,,NOTA,1117,,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,0.4,,557,0.2,2.63,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,7,Dharampal Singh,M,IND,560,46,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,0.2,yes,151,0.05,2.63,AEUP2025290,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,8,Ali Khan,M,IND,409,31,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,0.15,yes,137,0.05,2.63,AEUP2025292,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Business,,,,State Assembly Election (AE)
Uttar_Pradesh,18,1,2022,3,4,0,9,Mo. IKram,M,IND,272,47,,281373,372728,BEHAT,GEN,SAHARANPUR,WEST,8,75.49,0.1,yes,0,0,2.63,AEUP2025291,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Agriculture,,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,1,MUKESH CHOUDHARY,M,BJP,104114,47,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,38.47,no,315,0.12,2.94,AEUP2025307,National Party,1605,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,Graduate,Labourer or Daily Wage,,Agriculture,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,2,DR. DHARAM SINGH SAINI,M,SP,103799,65,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,38.35,no,48687,17.99,2.94,AEUP102039,State-based Party,7425,TRUE,3,BJP,1605,NAKUR,TRUE,FALSE,2,TRUE,TRUE,TRUE,Graduate Professional,Business,Rent,Small Business or Self-employed,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,3,SAHIL KHAN,M,BSP,55112,38,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,20.36,no,51519,19.04,2.94,AEUP2025305,State-based Party,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,4,RIZWANA,F,AIMIM,3593,41,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,1.33,yes,2239,0.83,2.94,AEUP2025299,State-based Party,706,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Salaried Work or Employed,Insurance Agent,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,5,RANDHEER SINGH,M,INC,1354,54,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.5,yes,644,0.24,2.94,AEUP2025306,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,6,None Of The Above,,NOTA,710,,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.26,,94,0.03,2.94,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,7,SONU KUMAR,M,ASPKR,616,40,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.23,yes,196,0.07,2.94,AEUP2025298,Local Party,24926,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Small Business or Self-employed,Shop Keeper,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,8,ATUL KUMAR,M,Inqalab Vikas Dal,420,36,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.16,yes,153,0.06,2.94,AEUP2025304,Local Party,3975,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Small Business or Self-employed,Shop Keeper,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,9,NITIN KUMAR,M,Jai Maha Bharath Party,267,28,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.1,yes,27,0.01,2.94,AEUP2025300,Local Party,4036,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,10,ASHISH TYAGI,M,AAAP,240,25,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.09,yes,22,0.01,2.94,AEUP2025303,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Education,School Teacher,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,11,DEVENDRA CHAUHAN,M,Aamjan Ekta Party,218,59,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.08,yes,9,0,2.94,AEUP2025302,Local Party,25020,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,State Assembly Election (AE)
Uttar_Pradesh,18,2,2022,3,4,0,12,NAHID LATIF,M,Lok Dal,209,29,,270652,355840,NAKUR,GEN,SAHARANPUR,WEST,11,76.06,0.08,yes,0,0,2.94,AEUP2025301,National Party,4996,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Business,,,,State Assembly Election (AE)
Uttar_Pradesh,18,3,2022,3,4,0,1,RAJEEV GUMBER,M,BJP,143195,52,,293112,445458,SAHARANPUR NAGAR,GEN,SAHARANPUR,WEST,12,65.8,48.85,no,7434,2.54,2.22,AEUP101792,National Party,1605,TRUE,3,BJP,1605,SAHARANPUR NAGAR,TRUE,TRUE,2,FALSE,FALSE,TRUE,12th Pass,Business,,,,State Assembly Election (AE)
Uttar_Pradesh,18,3,2022,3,4,0,2,SANJAY GARG,M,SP,135761,64,,293112,445458,SAHARANPUR NAGAR,GEN,SAHARANPUR,WEST,12,65.8,46.32,no,126985,43.32,2.22,AEUP102050,State-based Party,7425,TRUE,8,SP,7425,SAHARANPUR NAGAR,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate Professional,Business,Rent,Retired or Pension,,State Assembly Election (AE)
Uttar_Pradesh,18,3,2022,3,4,0,3,Manish,M,BSP,8776,35,,293112,445458,SAHARANPUR NAGAR,GEN,SAHARANPUR,WEST,12,65.8,2.99,yes,6520,2.22,2.22,AEUP2025320,State-based Party,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Business,,Social Work,,State Assembly Election (AE)
Uttar_Pradesh,18,3,2022,3,4,0,4,SUKHWINDER KAUR,F,INC,2256,51,,293112,445458,SAHARANPUR NAGAR,GEN,SAHARANPUR,WEST,12,65.8,0.77,yes,1503,0.51,2.22,AEUP2025318,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,State Assembly Election (AE)
Uttar_Pradesh,18,3,2022,3,4,0,5,None Of The Above,,NOTA,753,,,293112,445458,SAHARANPUR NAGAR,GEN,SAHARANPUR,WEST,12,65.8,0.26,,58,0.02,2.22,,,,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
