Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total valid votes polled +NOTA,% votes polled
1,Behat,NARESH SAINI,M,53,GEN,INC,96812,223,97035,336576,252559,38.6619810903527
1,Behat,MAHAVEER SINGH RANA,M,55,GEN,BJP,71135,314,71449,336576,252559,28.4676651406669
1,Behat,MOHD. IQBAL,M,52,GEN,BSP,70813,206,71019,336576,252559,28.2963387958547
1,Behat,RANA ADITYA PRATAP SINGH,M,49,GEN,IND,4181,6,4187,336576,252559,1.66824047843878
1,Behat,None of the Above,,,,NOTA,1576,0,1576,336576,252559,0.627930975404709
1,Behat,KAMRAN ALI,M,37,GEN,BHASP,1255,0,1255,336576,252559,0.500033866835602
1,Behat,ARUN,M,38,GEN,RLD,1147,3,1150,336576,252559,0.458198364032624
1,Behat,HARDHYAN,M,39,SC,IND,1113,0,1113,336576,252559,0.443456329711574
1,Behat,GOPAL SINGH,M,32,GEN,IND,945,0,945,336576,252559,0.376519525226808
1,Behat,KRISHNA KUMAR,M,35,SC,IND,810,0,810,336576,252559,0.322731021622978
1,Behat,KALYAN SINGH,M,45,GEN,IND,658,1,659,336576,252559,0.262567584258695
1,Behat,LOKESH VERMA,M,34,GEN,BHATARSP,617,0,617,336576,252559,0.245833383137503
1,Behat,SAKEEM KHAN,M,42,GEN,BMUP,425,0,425,336576,252559,0.169334178012057
1,Behat,KARM SINGH,M,57,GEN,IND,318,1,319,336576,252559,0.12710024184905
2,Nakur,DR.DHARAM SINGH SAINI,M,60,GEN,BJP,94038,337,94375,329580,255532,37.1116791191506
2,Nakur,IMRAN MASOOD,M,46,GEN,INC,90170,148,90318,329580,255532,35.516319307904
2,Nakur,NAVEEN CHOUDHARY,M,38,GEN,BSP,65091,237,65328,329580,255532,25.6893432953205
2,Nakur,None of the Above,,,,NOTA,1231,1,1232,329580,255532,0.484467164766024
2,Nakur,KAMAL GARG,M,43,GEN,IND,944,0,944,329580,255532,0.371215100275265
2,Nakur,VIJAYPAL SINGH,M,56,GEN,IND,814,0,814,329580,255532,0.320094376720409
2,Nakur,RAJPAL SINGH,M,59,GEN,IND,813,0,813,329580,255532,0.319701140385372
2,Nakur,RAMKUMAR,M,30,GEN,RLD,777,6,783,329580,255532,0.307904050334251
2,Nakur,PARVESH KUMAR,M,40,GEN,ASP,295,0,295,329580,255532,0.11600471883602
2,Nakur,INDU,F,45,GEN,IND,244,1,245,329580,255532,0.0963429020841526
2,Nakur,RAJIV SAINI,M,41,GEN,BMUP,243,2,245,329580,255532,0.0963429020841526
2,Nakur,ARVIND,M,37,SC,IND,140,0,140,329580,255532,0.05505308690523
3,Saharanpur Nagar,SANJAY GARG,M,59,GEN,SP,126854,356,127210,393564,272509,46.7969422515212
3,Saharanpur Nagar,RAJIV GUMBER,M,47,GEN,BJP,121711,863,122574,393564,272509,45.0914896591302
