TYPE OF CONSTUTENCIES,,Gen,,SC,,ST,,Total
NO. OF CONSTITUENCIES,,318,,85,,0,,403
,,,,,,,,
ELECTORS,,,,,,,,
,Male,61460151,,15582456,,0,,77042607
,Female,51477951,,13135796,,0,,64613747
,Others,6105,,1187,,0,,7292
,Total,112944207,,28719439,,0,,141663646
,,,,,,,,
ELECTORS WHO VOTED,,,,,,,,
,Male,36321579,,9248488,,0,,45570067
,Female,32533428,,8372695,,0,,40906123
,Others,233,,44,,0,,277
,Postal,228252,,50780,,0,,279032
,Total,69083492,,17672007,,0,,86755499
,PROXY,0,,6,,0,,6
,,,,,,,,
REJECTED VOTES,,,,,,,,
,Votes,16511,,2922,,0,,19433
,Percentage(to postal votes),7.233671555999509,,5.754233950374163,,0,,6.964434186759942
,Votes not Retreived from EVM ,5911,,1831,,0,,7742
,,,,,,,,
VALID VOTES,,69061070,,17667254,,0,,86728324
,,,,,,,,
Poll Percentage,,61.16603395161294,,61.53325975483017,,0,,61.24048155586791
,,,,,,,,
No. of Polling Stations,,116828,,30336,,0,,147164
,,,,,,,,
Average No. of Electors Per Polling Station(including Service Electors),,966.7563169788065,,946.7114649261604,,0,,962.6243238835585
