Party Type,Party Name,Contested,Won,Forfitted,Votes,Total Valid Votes,Votes in %,Total Valid Votes in Seat Contested, VOTE % IN SEATS CONTESTED
N,Bharatiya Janata Party,384,312,5,34403299,86728324,39.66789327094572,82766488,41.566701489134104
N,Bahujan Samaj Party,403,19,81,19281340,86728324,22.231883553981742,86728324,22.231883553981742
N,Communist Party of India,68,0,68,138764,86728324,0.15999847985071175,14360817,0.9662681447719862
N,Communist Party of India  (Marxist),26,0,26,35207,86728324,0.04059458130425765,5681973,0.6196263164221301
N,Indian National Congress,114,7,29,5416540,86728324,6.245410668837553,24515458,22.09438632555835
N,Nationalist Congress Party,30,0,30,33494,86728324,0.038619448013315696,6423305,0.5214449570742787
O,All India Forward Bloc,6,0,6,3107,86728324,0.003582451333891798,1314407,0.2363803601167675
O,All India Majlis-E-Ittehadul Muslimeen,38,0,37,204142,86728324,0.235381004249546,8298316,2.4600412903051656
O,Rashtriya Lok Samta Party,8,0,8,2229,86728324,0.0025700946325216663,1810190,0.12313624536650848
O,Indian Union Muslim League,3,0,3,1091,86728324,0.001257951208650129,649224,0.16804677584316047
O,Shivsena,57,0,56,88595,86728324,0.10215232569235398,12417967,0.7134420634231029
S,Rashtriya Lok Dal,277,1,266,1545811,86728324,1.7823600511408477,59703076,2.589164752583267
S,Samajwadi Party,311,47,25,18923769,86728324,21.819594945706548,66824584,28.318573595609664
U,Aajad Bharat Party (Democratic),1,0,1,1536,86728324,0.0017710477144698429,207329,0.7408514968962374
U,Adarshwaadi Congress Party,3,0,3,1404,86728324,0.0016188483015075906,668004,0.21017838216537627
U,Aam Janata Party,1,0,1,1080,86728324,0.0012452679242366082,186719,0.5784092674018178
U,Aadhi Aabadi Party,2,0,2,550,86728324,0.0006341642206760503,386812,0.14218793625844078
U,Aadim Samaj Party,2,0,2,1780,86728324,0.002052386023278854,434527,0.4096408278426887
U,Abhay Samaj Party,1,0,1,879,86728324,0.001013509727225906,243886,0.3604142919232756
U,Akhil Bharat Hindu Mahasabha,6,0,6,4095,86728324,0.0047216408793971385,1277057,0.32065914050821537
U,Akhil Bharatiya Jan Sangh,1,0,1,544,86728324,0.0006272460655414026,226447,0.24023281385931367
