Party Type,Party Name,Party Abbreviation
N,Bharatiya Janata Party,BJP
N,Bahujan Samaj Party,BSP
N,Communist Party of India,CPI
N,Communist Party of India  (Marxist),CPM
N,Indian National Congress,INC
N,Nationalist Congress Party,NCP
O,All India Forward Bloc,AIFB
O,All India Majlis-E-Ittehadul Muslimeen,AIMIM
O,Rashtriya Lok Samta Party,BLSP
O,Indian Union Muslim League,IUML
O,Shivsena,SHS
S,Rashtriya Lok Dal,RLD
S,Samajwadi Party,SP
U,Aajad Bharat Party (Democratic),AABHAP
U,Adarshwaadi Congress Party,AACP
U,Aam Janata Party,AAMJP
U,Aadhi Aabadi Party,AAPA
U,Aadim Samaj Party,AaSamP
U,Abhay Samaj Party,ABHASP
U,Akhil Bharat Hindu Mahasabha,ABHM
U,Akhil Bharatiya Jan Sangh,ABJS
U,Akhil Bharat Samagra Kranti Party,ABSKP
U,Akhil Bhartiya Vikas Congress Party,ABVCP
U,Apna Dal,AD
U,Apna Dal (Soneylal),ADAL
U,Adhikar Party,ADHIKAR
U,Apna Desh Party,ADPT
U,Adarsh Samaj Party,ADRSP
U,Apna Dal United Party,ADUP
U,Adarsh Vyawastha Party,AdVP
U,New All India Congress Party,aicp
U,All India Jan Congress Party,AIJCP
U,All India Minorities Front,AIMF
U,All India Peoples' Front (Radical),AIPF
U,All India Pichhada Jan Samaj Party,AIPJSP
U,Aam Janta Party Rashtriya,AJPR
U,Akhil Bhartiya Swarajya Dal,AkBSD
U,Akhand Samaj Party,AKSP
U,Adarsh Lok Dal,ALD
U,Al-Hind Party,ALHP
U,Azad Mazdoor Kissan Party,AMKP
U,Ambedkar National Congress,ANC
U,Ambedkarite Party of India,APoI
U,Akhand Rashtrawadi Party,ARK
U,Awami Samta Party,ASaP
U,Ambedkar Samaj Party,ASP
U,Asankhya Samaj Party,ASSP
U,AARAKSHAN VIRODHI PARTY,AVIRP
U,Awami Vikas Party,AwVP
U,Ambedkar Yug Party,AYP
U,Apni Zindgi Apna Dal,AZAD
U,Bhartiya Harit Party,BaHaP
U,Bahujan Maha Party,BAHUMP
U,Bhartiya Janta Dal,BaJD
U,Bhartiya  Sarvjan Party,BaSaP
U,Bhartiya Sarvodaya Party,BaSaPa
U,Bhartiya Vanchitsamaj Party,BaVaP
U,Bahujan Awam Party,BAWPA
U,Bharatiya Bahujan Parivartan  Party,BBPP
U,Bharatiya Chhatrasangh Bharat,BCB
U,Bharatrashtra Democratic Party,BDPty
U,Bharatiya Democratic  Socialist Alliance  Party,BDSAP
U,Bharatiya Eklavya Party,BEP
U,Bhartiya Bhaichara Party,BHABHAPA
U,Bhartiya Insan Party,BHAIP
U,Bhartiya Jan Sahyog Party,BHAJSP
U,Bharat Kalyan Party,BHAKALP
U,Bhartiya Nav Vikas Party,BHANVIP
U,Bharat Nyay Dal,BHANYD
U,Bhartiya Sangam Party,BHASAP
U,Bharti Samudaya Party,BhaSP
U,Bharatiya Samrat Subhash  Sena,BHASSS
U,Bhartiya Tarak Samaj Party,BHATARSP
U,Bhartiya Imaandar Party,BHIP
U,Bhagidari Kranti Dal,BHKRDL
U,Bahujan Samaj Vikas Party,BHSVP
U,Bharat (Integrated) Rakshak Party,BIRK
U,Bharatiya Jan Berojgar Chhatra Dal,BJBCD
U,Bharat Janta Dal (Tughlaq),BJD(T)
U,Bhartiya Janta Dal (Integrated),bjdi
U,Bharatiya Jan Kranti Dal (Democratic),BJKD
U,Bharatiya Jan Sabha,BJS
U,Bharatiya Janvadi Party,BJVP
U,Bhartiya Kisan Janshakti Party,BKJP
U,Bharatiya Kisan Parivartan Party,BKPP
U,Bhartiya Krishak Dal,BKrD
U,Bharat Kranti Rakshak Party,BKRP
U,Bharatiya Karyasth Sena,BKS
U,Bharatiya Kisan Sena Loktantrik,BKSL
U,Bharat Lok Sewak Party,BLokSP
U,Dr. Bhimrao Ambedkar Dal,bmd
U,Bharatiya Momin Front,BMF
U,Bharat Mata Party,BMtP
U,Bahujan Mukti Party,BMUP
U,Bhartiya Navodaya Party,BNavP
U,Bhartiya Naujawan Inklav Party,BNIP
U,Bahujan Party,BPA
U,Bharatiya Rashtriya Bahujan Samaj Vikas Party,BRABSVP
U,Bhartiya Rashtriya Jansatta,BRJ
U,Brij Kranti Dal,BRKD
U,Bhartiya Republican Party (Insan),BRPI
U,Bhartiya Shakti Chetna Party,BSCP
U,Bharatiya Samaj Dal,BSD
U,Bhartiya Samajik Kranti Dal,BSKD
U,Bharatiya Swajivi Nagrik Party,BSNPty
U,Bahujan Sangharsh Party (Kanshiram),BSP(K)
U,Bharatiya Subhash Sena,BSRD
U,Bundelkhand Kranti Dal,BUNKD
U,Communist Party of India  (Marxist-Leninist)  (Liberation),CPI(ML)(L)
U,Desh Shakti Party,DESP
U,Deshbhakt Nirman Party,DNP
U,Eklavya Samaj Party,EKSP
U,Federal Democratic Party,FDDP
U,Fauji Janta Party,FJP
U,Gandhi Ekta Party,GEkP
U,Gondvana Gantantra Party,GGP
U,Gareeb Kranti Party,GKP
U,Hamari Apni Party,HAPa
U,Hind Congress Party,HCP
U,Hind Vikas Party,HDVP
U,Hindustan Utthan Party,HINUP
U,Hindustan Janmorcha,HJ
U,Hind Jan Congress,hjc
U,Hindustan Krantikari Dal,HKRD
U,Hindusthan Nirman Dal,HND
U,Hum Sabki Party,HuSP
U,Ittehad-E-Millait Council,IEMC
U,Islam Party Hind,IPH
U,Indian Savarn Samaj Party,ISSP
U,Inqalab Vikas Dal,IVD
