AC NO,Winner,Sex,Party
1,Naresh Saini,M,INC       
2,Dr.Dharam Singh Saini,M,BJP       
3,Sanjay Garg,M,SP        
4,Masood Akhtar,M,INC       
5,Brijesh,M,BJP       
6,Devender Kumar Nim,M,BJP       
7,Pradeep Kumar,M,BJP       
8,Nahid Hasan,M,SP        
9,Suresh Kumar,M,BJP       
10,Tejendra Nirwal,M,BJP       
11,Umesh Malik,M,BJP       
12,Vijay Kumar Kashyap,M,BJP       
13,Pramod Utwal,M,BJP       
14,Kapil Dev Agarwal,M,BJP       
15,Vikram Singh,M,BJP       
16,Avtar Singh Bhadana,M,BJP       
17,Tasleem Ahmad,M,SP        
18,Manoj Kumar Paras,M,SP        
19,Sushant Kumar,M,BJP       
20,Ashok Kumar Rana,M,BJP       
21,Omkumar,M,BJP       
22,Suchi,F,BJP       
23,Kamlesh Saini,F,BJP       
24,Lokendra Singh,M,BJP       
25,Rajesh Kumar Singh (Chunnu),M,BJP       
26,Navab Jan,M,SP        
27,Haji Ikram Qureshi,M,SP        
28,Ritesh Kumar Gupta,M,BJP       
29,Mohammad Rizwan,M,SP        
30,Mohd. Faeem,M,SP        
31,Gulab Devi,F,BJP       
32,Pinki Yadav,F,SP        
33,Iqbal Mehmood,M,SP        
34,Mohammad Abdullah Azam Khan,M,SP        
35,Naseer Ahmad Khan,M,SP        
36,Baldev Singh Aulakh,M,BJP       
37,Mohammad Azam Khan,M,SP        
38,Rajbala,F,BJP       
39,Rajeev Kumar,M,BJP       
40,Chetan Chauhan,M,BJP       
41,Mehboob Ali,M,SP        
42,Mahendra Singh Khargvanshi,M,BJP       
43,Jitendra Pal Singh (Billu),M,BJP       
44,Sangeet Singh Som,M,BJP       
45,Dinesh Khatik,M,BJP       
46,Satyavir Tyagi,M,BJP       
47,Satya Prakash Agarwal,M,BJP       
48,Rafiq Ansari,M,SP        
49,Dr. Somendra Tomar,M,BJP       
50,Sahender Singh Ramala,M,RLD       
51,Krishanpal Malik Urf Krishanpal Malik,M,BJP       
52,Yogesh Dhama,M,BJP       
53,Nandkishor,M,BJP       
54,Ajit Pal Tyagi,M,BJP       
55,Sunil Kumar Sharma,M,BJP       
56,Atul Garg,M,BJP       
57,Dr. Manju Shiwach,F,BJP       
58,Aaaslam Choudhary,M,BSP       
59,Vijay Pal (Aadhti),M,BJP       
60,Kamal Singh Malik,M,BJP       
61,Pankaj Singh,M,BJP       
62,Tejpal Singh Nagar,M,BJP       
63,Dhirendra Singh,M,BJP       
64,Bimla Singh Solanki,F,BJP       
65,Virendra Singh Sirohi,M,BJP       
66,Devendra,M,BJP       
67,Sanjay,M,BJP       
68,Dr. Anita Lodhi Rajput,F,BJP       
69,Anil Kumar,M,BJP       
70,Vijendra Singh,M,BJP       
71,Anoop,M,BJP       
72,Shri Dalveer Singh,M,BJP       
73,Sandeep Kumar Singh,M,BJP       
74,Ravendra Pal Singh,M,BJP       
75,Anil Parashar,M,BJP       
76,Sanjeev Raja,M,BJP       
77,Rajveer Diler,M,BJP       
78,Hari Shankar Mahor,M,BJP       
79,Ramveer Upadhyay,M,BSP       
80,Birendra Singh Rana,M,BJP       
81,Laxmi Narayan,M,BJP       
82,Shyam Sunder Sharma,M,BSP       
83,Karinda Singh,M,BJP       
84,Shrikant Sharma,M,BJP       
85,Pooran Prakash,M,BJP       
86,Ram Pratap Singh,M,BJP       
87,Dr. Girraj Singh Dharmesh,M,BJP       
88,Yogendra Upadhyaya,M,BJP       
89,Jagan Prasad Garg,M,BJP       
90,Hemlata Diwakar,F,BJP       
91,Chau. Udaybhan Singh,M,BJP       
92,Mahesh Kumar Goyal,M,BJP       
93,Jitendra Verma,M,BJP       
94,Rani Pakshalika Singh,F,BJP       
95,Satya Pal Singh Baghel,M,BJP       
96,Ramgopal Pappu Lodhi,M,BJP       
97,Manish Asija,M,BJP       
98,Mukesh Verma,M,BJP       
99,Hariom Yadav,M,SP        
100,Devendra Singh Rajput,M,BJP       
101,Devendra Pratap,M,BJP       
102,Mamtesh,M,BJP       
103,Satyapal Singh Rathaur,M,BJP       
104,Vipin Kumar David,M,BJP       
105,Virendra,M,BJP       
106,Sanjeev Kumar Diwakar,M,BJP       
107,Rajkumar Alias Raju Yadav,M,SP        
108,Ram Naresh Agnihotri,M,BJP       
109,Brajesh Kumar,M,SP        
110,Sobaran Singh Yadav,M,SP        
111,Ajeet Kumar Urf Raju Yadav,M,BJP       
112,Kushagra Sagar,M,BJP       
113,Omkar Singh,M,SP        
114,Pt. Radha Krishan Sharma,M,BJP       
115,Mahesh Chandra Gupta,M,BJP       
116,Dharmendra Kumar Singh Shakya,M,BJP       
117,Rajeev Kumar Singh Urf Babbu Bhaiya,M,BJP       
118,Chhatra Pal Singh,M,BJP       
119,Dr. D.C. Verma,M,BJP       
120,Bahoran Lal Maurya,M,BJP       
121,Kesar Singh,M,BJP       
122,Dr. Shyam Bihari Lal,M,BJP       
123,Rajesh Kumar Mishra,M,BJP       
124,Dr. Arun Kumar,M,BJP       
125,Rajesh Agarwal,M,BJP       
126,Dharm Pal Singh,M,BJP       
127,Sanjay Singh Gangwar,M,BJP       
128,Kishan Lal Rajpoot,M,BJP       
129,Babu Ram Paswan,M,BJP       
