Constituency Name,Constituency No.,Candidate No.,Candidate Name,Party Type,Party Name, Vote Secured, Total Valid Votes, % of Votes Secured Over Total Electors, % of Votes Secured Over Total Votes Poled, Status,Total Electors,Constituency Type
Jalesar ,106,5,GEETA DEVI,Z,IND,326,184640,,,FD,280425,SC
Gyanpur,393,16,SEEMA DEVI,Z,IND,1698,208900,,,FD,368095,GEN
LAKHIMPUR,142,7,PUJAA SHUKLA,U,BHAJSP,642,255622,,,FD,393409,GEN
Madhaugarh,219,12,REKHA JATAV,Z,IND,1357,252621,,,FD,431280,GEN
Kishani (SC),109,11,LEENA SINGH,Z,IND,377,179515,,,FD,298555,SC
Jaswantnagar,199,8,ARUNA DEVI,Z,IND,601,233057,,,FD,366419,GEN
Garautha,225,12,SUSHANTI YADAV,Z,IND,691,228787,,,FD,338700,GEN
Sultanpur,188,8,DEEPSHIKHA,U,SATSHIP,267,204858,,,FD,360891,GEN
Alapur ,279,10,SUMPATTI DEVI,Z,IND,1061,197802,,,FD,323494,SC
KHALILABAD,313,19,MANBHAWATI,Z,IND,1394,224008,,,FD,427309,GEN
Gorakhpur Rural,323,7,KAUSHILYA DEVI,U,ADUP,1006,235963,,,FD,394330,GEN
Fazilnagar,332,10,ARCHANA PANDEY,Z,IND,550,214409,,,FD,382913,GEN
Hata,334,6,ARTI,U,ADUP,340,208257,,,FD,352906,GEN
Amroha,41,12,SHASHI,Z,IND,497,201377,,,FD,292309,GEN
Kishani (SC),109,6,MEERA,U,FJP,254,179515,,,FD,298555,SC
Mahoba,230,7,SAVITA SINGH,U,FJP,556,197273,,,FD,298831,GEN
Sadabad,79,6,NEETU SHARMA,U,SAMAP,136,226634,,,FD,345367,GEN
Garhmukteshwar,60,10,AMRITA KUMAR,Z,IND,465,221755,,,FD,329482,GEN
Lucknow North,172,11,HEMLATA SHARMA,U,PDD,174,226447,,,FD,403281,GEN
Jhansi Nagar,223,15,NEETA TIWARI,Z,IND,421,242146,,,FD,397988,GEN
Gorakhpur Urban,322,9,MINA TRIPATHI,U,BSCP,291,218831,,,FD,429167,GEN
PALIA,137,14,VANDNA GUPTA,Z,IND,1032,231799,,,FD,340777,GEN
Nakur,2,8,INDU,Z,IND,245,255532,,,FD,329573,GEN
Ajagara ,385,10,ARTI,Z,IND,8639,219858,,,FD,336868,SC
Pratapgarh,248,5,DEEPMALA SHRIVASTAV,U,PUPP,411,185179,,,FD,330831,GEN
Saharanpur  ,4,12,SHABNOOR BEGUM,Z,IND,596,237468,,,FD,317403,GEN
GOLA GOKRANNATH,139,11,VIDYAWATI,Z,IND,1113,250840,,,FD,365748,GEN
Saiyadraja,382,10,CHANDRAKALA,Z,IND,341,197724,,,FD,317430,GEN
Jaswantnagar,199,7,ANITA DEVI,Z,IND,822,233057,,,FD,366419,GEN
Kalyanpur,211,8,SHRIMATI VIJAY LAXMI,U,BHAIP,337,177912,,,FD,334227,GEN
Koil,75,12,MAMTA TIWARI,Z,IND,473,228587,,,FD,363039,GEN
Agra South,88,21,RENU SETHI,Z,IND,194,217225,,,FD,348892,GEN
Allahabad West,261,12,REETA SINGH PASI,Z,IND,1000,198692,,,FD,418814,GEN
Jalalpur,280,7,PRAMILA BAUDDH,U,MADP,529,240787,,,FD,384275,GEN
Katra,131,8,SUNEETA DEVI,U,MD,1015,192992,,,FD,313947,GEN
Bhadohi,392,22,NISHA,Z,IND,572,239518,,,FD,415430,GEN
Chillupar,328,7,POONAM GUPTA,Z,IND,1418,220317,,,FD,431447,GEN
Auraiya ,204,10,LAKSHMI DEVI,Z,IND,553,184820,,,FD,319330,GEN
Tulsipur,291,12,RENU,Z,IND,1796,197479,,,FD,367401,GEN
Rohaniya,387,7,SANGEETA VISHWAKARMA,U,MADP,734,233782,,,FD,379237,GEN
Pipraich,321,19,SANGEETA DEVI,Z,IND,605,246015,,,FD,386424,GEN
Aonla,126,6,RAKHI RANI,Z,IND,735,181709,,,FD,298069,GEN
Chandausi ,31,5,JYOTASNA,U,MD,3615,224074,,,FD,363443,SC
Pilibhit,127,10,RAJRANI,Z,IND,964,251819,,,FD,368509,GEN
Unchahar,183,11,MANJU PAL,Z,IND,1587,207088,,,FD,325368,GEN
Akbarpur  ,281,9,SAROJ SHARMA,U,MADP,704,204316,,,FD,306152,GEN
Loni,53,6,NASIM,Z,IND,880,274555,,,FD,456690,GEN
Tanda,278,9,SHANTI DEVI,U,MADP,751,205700,,,FD,305077,GEN
Basti Sadar,310,13,NEELAM SINGH,Z,IND,853,206622,,,FD,347760,GEN
Saharanpur Nagar,3,13,SHABNAM,Z,IND,594,272509,,,FD,393527,GEN
Kaimganj ,192,8,VIMLA DEVI,Z,IND,1145,233683,,,FD,381544,GEN
Dadri,62,13,SHAKILA,Z,IND,833,265281,,,FD,441184,GEN
Bithari Chainpur,123,7,SEEMA SRIVASTAVA,U,PPS,995,234958,,,FD,362511,GEN
Sadabad,79,5,KUSUMLATA SHARMA,U,AZAD,937,226634,,,FD,345367,GEN
Kishani (SC),109,7,SUMAN DIWAKAR,U,JAM,2724,179515,,,FD,298555,SC
175-LUCKNOW CANTT.,175,8,MANJU MAURYA,U,JAM,173,187433,,,FD,368291,GEN
Bithoor,210,8,SHAILENDRI KUSHWAHA,U,JAM,312,230544,,,FD,354074,SC
Charkhari,231,6,HEMLATA KUSHWAHA,U,JAM,2178,213705,,,FD,322414,GEN
Baheri,118,5,SMT ANUPAMA MAURYA,U,JAM,335,247785,,,FD,344386,GEN
Bisauli ,112,5,KM.YASHODA,U,JAM,632,228995,,,FD,387653,SC
Chhibramau,196,9,ARCHANA,Z,IND,263,268754,,,FD,422129,GEN
Deoria,337,14,MANNU TIWARI,Z,IND,952,183289,,,FD,324195,GEN
Sevata,150,8,SHANTI DEVI NISHAD,U,JHSPT,972,214086,,,FD,296479,GEN
Pharenda,315,11,SHIV KUMARI DEVI,U,JHSPT,634,198945,,,FD,333563,GEN
Rasulabad ,205,5,USHA DEVI,U,VPI,527,189385,,,FD,311318,SC
Bithoor,210,7,SHASHI DEVI,U,VPI,209,230544,,,FD,354074,SC
Anupshahr,67,8,ARCHANA SINGH,Z,IND,239,229765,,,FD,361344,GEN
MOHAMMDI,144,8,SAZIYA KHATOON,U,SWPI,483,219146,,,FD,315253,GEN
Bhojpur,195,6,URMILA,U,LD,2116,187708,,,FD,307139,GEN
Khatauli,15,7,AASHI GAUR,U,LD,207,213096,,,FD,298719,GEN
Charthawal,12,5,AMITA SINGH,U,LD,549,206964,,,FD,314327,GEN
Jalalabad,132,7,JAY SHREE,U,LD,621,208332,,,FD,342328,GEN
Akbarpur - Raniya,206,10,VIJAY LAXMI,U,LD,2313,203207,,,FD,308102,GEN
Nehtaur,21,10,NIRMALA DEVI,Z,IND,935,188207,,,FD,286393,SC
Varanasi North,388,7,KIRAN,U,BHASP,220,227695,,,FD,384574,GEN
Bakshi Kaa Talab,169,5,ANNPURNA JAUHARI,U,PDD,1137,264762,,,FD,395859,GEN
Gopalpur,344,8,VEENA,U,BBPP,385,189300,,,FD,335947,GEN
Auraiya ,204,6,KANTI,U,NINSHAD,5141,184820,,,FD,319330,GEN
Marihan,399,5,KAUSHILYA,U,NINSHAD,2252,238300,,,FD,344909,GEN
Ghazipur,375,9,JYOTSANA SINGH,U,NINSHAD,1418,213558,,,FD,338747,GEN
Chhanbey ,395,6,SAROJ SARGAM,U,NINSHAD,15095,215798,,,FD,357168,SC
Paniyara,319,9,SUMAN,U,NINSHAD,10762,243886,,,FD,398721,GEN
Purqazi ,13,7,KAVITA,U,NINSHAD,871,204319,,,FD,313951,SC
Sagri,345,12,RITU KHARE,U,NINSHAD,2427,179125,,,FD,327360,SC
Karachhana,260,11,BABITA PATEL,Z,IND,1522,198734,,,FD,331661,GEN
Shahganj,365,15,SUDAMA DEVI YADAV,Z,IND,871,214243,,,FD,351489,GEN
Badlapur,364,6,ANJANA SINGH,U,RASHVIP,368,190590,,,FD,312904,GEN
Mohanlalganj ,176,3,CHANDRA DEVI RAVAT,U,RASHVIP,1488,222570,,,FD,341161,SC
Akbarpur - Raniya,206,11,SHANTEE,U,SSD,392,203207,,,FD,308102,GEN
Sahajanwa,324,5,ASHA NISHAD,U,SSD,2024,209383,,,FD,356147,GEN
Sardhana,44,6,MAMTA,U,UDFS,148,239251,,,FD,333017,GEN
Sirathu,251,10,SANGITA DEVI,U,SWAJANPA,1181,196186,,,FD,350697,GEN
Khair ,71,6,PRAGYA DEVI,U,SWAJANPA,641,232118,,,FD,375499,SC
KIDWAI NAGAR,215,4,PRATIMA CHAK,U,DESP,243,205134,,,FD,354651,GEN
Muzaffar Nagar,14,8,BABITA,U,BRJ,55,215602,,,FD,334307,GEN
Dariyabad,270,6,USHA DWIVEDI,U,ISSP,1217,254570,,,FD,387485,GEN
Agra North,89,10,KUNDANIKA SHARMA,Z,IND,3275,230769,,,FD,395489,GEN
Mohammadabad,378,7,SVATI,U,SAJPCS,523,230144,,,FD,394646,GEN
Phephana,360,9,USHA RAI,Z,IND,406,178647,,,FD,314893,GEN
Sahibabad,55,5,ANSHU MONEY DHAWAN,U,SASPA,975,425868,,,FD,865617,GEN
Varanasi South,389,16,RUBI FATMA,Z,IND,799,178837,,,FD,281274,GEN
Rampur Maniharan ,6,7,BABY,U,KSJP,256,218831,,,FD,297981,SC
Nawabganj,121,8,SHAILA TAHIR,U,IEMC,36761,215339,,,L,315046,GEN
Nehtaur,21,7,SUNITA SINGH,U,BMF,251,188207,,,FD,286393,SC
Dhampur,20,5,KAMPI,U,BMF,467,192961,,,FD,282273,GEN
Phoolpur Pawai,349,9,REETA MAURYA,U,ASSP,316,178455,,,FD,304949,GEN
Mehnagar ,352,6,RENU DEVI,U,ASSP,923,202135,,,FD,386934,SC
Unnao,165,10,PADMA DEVI,Z,IND,308,231457,,,FD,382526,SC
Agra North,89,12,REKHA,Z,IND,247,230769,,,FD,395489,GEN
Amethi,186,10,REETA CHAUHAN,U,BHANYD,247,187717,,,FD,334542,GEN
Gyanpur,393,11,SEETA DEVI,U,AAPA,419,208900,,,FD,368095,GEN
Rath ,229,7,GANGOTRI,Z,IND,2334,242011,,,FD,383215,SC
Khair ,71,8,MAMTA DEVI,U,VIP,549,232118,,,FD,375499,SC
Nagina ,18,10,SARVESH ALIAS SHABNAM,U,VIP,287,209903,,,FD,328570,SC
Mehnaun,295,5,MADHURI TIWARI,U,BSRD,2041,206971,,,FD,356055,GEN
KASTA,143,5,KUSUM DEVI,U,BSRD,1864,209987,,,FD,298942,SC
Biswan,149,6,SANGEETA SHARMA,U,BSRD,789,228054,,,FD,317160,GEN
Allahabad North,262,21,MADHU SINGH PATEL,Z,IND,115,173242,,,FD,413412,GEN
Gopalpur,344,10,HAUSHILA,U,PMHP,442,189300,,,FD,335947,GEN
Mehnagar ,352,8,SANGITA,U,PMHP,803,202135,,,FD,386934,SC
Moradabad Nagar,28,15,MAMTA GUPTA,Z,IND,414,276805,,,FD,470754,GEN
Sakaldiha,381,9,BABITA YADAV,Z,IND,678,202392,,,FD,317764,GEN
Amethi,186,12,KAMLESH,Z,IND,485,187717,,,FD,334542,GEN
Bansdih,362,11,KETAKEE SINGH,Z,IND,49514,209933,,,L,385408,GEN
Belthara Road ,357,14,SHIVKUMARI,Z,IND,750,189878,,,FD,332833,SC
Bareilly Cantt.,125,6,PRIYANKA KHANDELWAL,U,JSEP,237,183430,,,FD,342911,GEN
Belthara Road ,357,10,SONI,U,MANKP,233,189878,,,FD,332833,SC
Bilgram-Mallanwan,159,8,NEELAM,U,BAHUMP,185,221791,,,FD,357736,GEN
Shahabad,155,10,RAJDEVI,U,BAHUMP,229,219939,,,FD,343834,GEN
Lucknow North,172,8,"DR,SEEMA SINGH",U,SARSAMP,663,226447,,,FD,403281,GEN
Ghaziabad,56,6,KIRAN,U,SARSAMP,227,225856,,,FD,424065,GEN
Shikarpur,69,7,VARSHA DEVI,U,SARSAMP,361,202785,,,FD,310879,GEN
Madhaugarh,219,10,SHAKUNTLA DEVI,U,SARSAMP,1116,252621,,,FD,431280,GEN
Baghpat,52,6,GEETA KASHYAP,U,SARSAMP,311,198613,,,FD,301333,GEN
Atrauli,73,8,NISHA RAJ,U,SARSAMP,355,232591,,,FD,382518,GEN
Dariyabad,270,10,SUMAN MISHRA,Z,IND,2217,254570,,,FD,387485,GEN
Jasrana,96,9,MITHLESH URF SANDHYA RAJPOOT,Z,IND,477,230392,,,FD,340457,GEN
Ayah Shah,241,15,HEMLATA,Z,IND,1526,150934,,,FD,260510,GEN
Lalitpur,226,6,KRANTI,U,RKMP,947,317850,,,FD,453315,GEN
Faridpur,122,8,SHALINI SINGH,Z,IND,1927,190209,,,FD,307006,SC
Shekhupur,116,9,KM. SARVESHA DEVI,Z,IND,1619,235906,,,FD,377652,GEN
Gorakhpur Urban,322,19,VINDU DEVI,Z,IND,469,218831,,,FD,429167,GEN
Mohanlalganj ,176,4,PUSHPA RAWAT BHEEM,U,MAKDL,936,222570,,,FD,341161,SC
Biswan,149,10,SUNILA,Z,IND,2035,228054,,,FD,317160,GEN
Maholi,145,10,SAROJANI DEVI,U,CPI(ML)(L),575,241699,,,FD,351886,GEN
PALIA,137,5,ARTI RAI,U,CPI(ML)(L),1661,231799,,,FD,340777,GEN
Tindwari,232,7,BABITA DEVI,U,ASP,537,184823,,,FD,309625,GEN
Jewar,63,8,SUMITA VAID DIXIT,Z,IND,898,211414,,,FD,322989,GEN
Jalesar ,106,4,RAJKUMARI,U,RTKP,2375,184640,,,FD,280425,SC
Sevata,150,9,DR. SHUCHITA,U,SP(I),846,214086,,,FD,296479,GEN
Belthara Road ,357,5,TARA DEVI,U,PAJD,255,189878,,,FD,332833,SC
Phephana,360,11,RAJU SINGH,Z,IND,500,178647,,,FD,314893,GEN
Rasara,358,6,GEETA,U,ASP,230,193151,,,FD,335642,GEN
Babina,222,6,KIRAN DEVI,U,SHS,482,230162,,,FD,323428,GEN
Etawah,200,16,SUKHRANI,U,MHP,793,220994,,,FD,381676,GEN
Lucknow Central,174,7,ANJU VISHWAKARMA,U,MASPA,104,195025,,,FD,366950,GEN
Laharpur,148,9,MANTOONA,Z,IND,463,229555,,,FD,339713,GEN
Patti,249,12,YOGINI NIRMALA DEVI,Z,IND,949,207923,,,FD,339193,GEN
Nagina ,18,9,SAPNA,U,NAAP,171,209903,,,FD,328570,SC
Fatehpur   ,240,7,KAMLESH KUMARI,U,BSCP,456,195168,,,FD,332495,GEN
Tilhar,133,11,ARUNA DEVI,Z,IND,530,204249,,,FD,330651,GEN
Barhapur,19,13,GAJALA TAUSIF,Z,IND,409,222149,,,FD,338084,GEN
Nawabganj,121,12,RASHMI GANGWAR,Z,IND,1264,215339,,,FD,315046,GEN
Mughalsarai,380,9,MADINA,Z,IND,378,232617,,,FD,376517,GEN
Mohanlalganj ,176,10,MEERA DEVI,Z,IND,582,222570,,,FD,341161,SC
Nanpara,283,7,VINEETA GUPTA,Z,IND,936,193040,,,FD,331643,GEN
Powayan,134,9,CHANDRAKALA,Z,IND,823,229205,,,FD,361633,SC
Tanda,278,10,NIRMALA,Z,IND,851,205700,,,FD,305077,GEN
MOHAMMDI,144,12,RACHANA,Z,IND,622,219146,,,FD,315253,GEN
Bhojipura,120,11,NOOR JAHAN JAFRI,Z,IND,609,238631,,,FD,347106,GEN
Laharpur,148,13,SUNDARI DEVI,Z,IND,1299,229555,,,FD,339713,GEN
Hardoi,156,10,SUMAN GUPTA,Z,IND,824,230361,,,FD,393540,GEN
Marhara,105,8,BHU DEVI,Z,IND,369,191339,,,FD,296194,GEN
Tundla ,95,11,SALONI,Z,IND,871,243591,,,FD,349686,SC
Agra South,88,4,ANJALI BHARGAVA,U,MAHISAP,559,217225,,,FD,348892,GEN
Chillupar,328,9,SONIYA SHUKLA,Z,IND,1122,220317,,,FD,431447,GEN
Kasganj,100,7,ARCHANA DEVI,Z,IND,685,220120,,,FD,345705,GEN
Baheri,118,12,FAUZUL,Z,IND,404,247785,,,FD,344386,GEN
LAKHIMPUR,142,5,OOSHA VERMA,U,MAHISAP,1160,255622,,,FD,393409,GEN
Akbarpur - Raniya,206,14,PRATIBHA,Z,IND,721,203207,,,FD,308102,GEN
Agra South,88,10,PADMA AGRAWAL,U,BRKD,154,217225,,,FD,348892,GEN
Phaphamau,254,9,SUDHA PATEL,U,BHASAP,857,205266,,,FD,356280,GEN
Amethi,186,13,KIRAN,Z,IND,637,187717,,,FD,334542,GEN
Bhojpur,195,19,REETA,Z,IND,449,187708,,,FD,307139,GEN
Rohaniya,387,11,PARVATI DEVI,Z,IND,2926,233782,,,FD,379237,GEN
Sikandrabad,64,7,SONVATI URF SOMVATI,U,VP,716,251950,,,FD,375269,GEN
Jagdishpur ,184,5,RANJANA DEVI,U,KTKD,813,192972,,,FD,361667,SC
Mehnagar ,352,7,SUMAN,U,MAHAD,887,202135,,,FD,386934,SC
Zamania,379,7,RENU,U,MAHAD,445,217230,,,FD,395070,GEN
Majhawan,397,9,RAMKALI,U,VP,527,240169,,,FD,376678,GEN
Malihabad,168,3,RAJBALA,S,SP,72009,227724,,,L,340473,SC
Bijnor,22,3,RUCHI VIRA,S,SP,78267,245771,,,L,363168,GEN
Charkhari,231,1,URMILA DEVI,S,SP,54346,213705,,,L,322414,GEN
Patiyali,102,1,KIRAN YADAV,S,SP,68643,202823,,,L,328096,GEN
Allahabad West,261,2,RICHA SINGH,S,SP,60182,198692,,,L,418814,GEN
Bahraich,286,3,RUBAB SAYEDA,S,SP,80777,213375,,,L,357049,GEN
Kaimganj ,192,3,DR. SURABHI,S,SP,79779,233683,,,L,381544,GEN
Sikandra,207,3,SEEMA SACHAN,S,SP,42010,193753,,,L,321231,GEN
175-LUCKNOW CANTT.,175,1,APARNA YADAV,S,SP,61606,187433,,,L,368291,GEN
Balamau ,160,4,SUSHILA SAROJ,S,SP,43507,187997,,,L,347457,SC
Alapur ,279,3,SANGEETA,S,SP,59853,197802,,,L,323494,SC
Chakia ,383,2,POONAM,S,SP,48687,234587,,,L,365214,SC
Unnao,165,3,MANISHA DEEPAK,S,SP,73597,231457,,,L,382526,SC
Rasulabad ,205,1,ARUN KUMARI KORI,S,SP,54996,189385,,,L,311318,SC
Maharajpur,217,1,ARUNA TOMAR,S,SP,38752,236731,,,FD,409025,GEN
Rampur Karkhana,339,3,FASIHA MANZER GHAZALA LARI,S,SP,52899,192377,,,L,328326,GEN
Salempur,341,3,VIJAY LAXMI GAUTAM,S,SP,50521,162421,,,L,309088,SC
Mariyahu,370,3,SHRADDHA YADAV,S,SP,47454,180043,,,L,308114,GEN
Khajani ,325,3,RUPAWATI BELDAR,S,SP,42085,187798,,,L,364492,SC
Gopamau ,157,2,RAJESHWARI,S,SP,56493,203032,,,L,330369,SC
Bhinga,289,2,INDRANI DEVI,S,SP,57986,225590,,,L,357518,GEN
Bah,94,4,HANSKALI ALIAS ANSHU RANI NISHAD,S,SP,46885,192786,,,L,321282,GEN
Purqazi ,13,2,UMA KIRAN,S,SP,2570,204319,,,FD,313951,SC
Bansgaon,327,3,SHARADA DEVI,S,SP,44051,178818,,,L,370767,SC
SRI NAGAR,140,3,MEERA BANO,S,SP,58002,222865,,,L,307957,SC
Asmoli,32,4,PINKI YADAV,S,SP,97610,250045,,,W,348554,GEN
Etmadpur,86,3,RAJBETI,S,SP,43925,284202,,,FD,417191,GEN
Powayan,134,3,SHAKUNTLA DEVI,S,SP,54218,229205,,,L,361633,SC
Mauranipur ,224,3,DR.RASHMI ARYA,S,SP,81934,268783,,,L,402057,SC
Agra Cantt. ,87,4,MAMTA KAUDAN,S,SP,64683,252816,,,L,427507,SC
Lalitpur,226,1,JYOTI SINGH,S,SP,88687,317850,,,L,453315,GEN
BALHA (S.C.),282,10,POOJA,Z,IND,792,202367,,,FD,349477,SC
Basti Sadar,310,11,SUDHA VISHNUDUTT OJHA,U,SHS,1483,206622,,,FD,347760,GEN
Dibiyapur,203,12,RAJNI,Z,IND,477,191614,,,FD,309497,GEN
Shekhupur,116,6,PRITI KASHYAP,U,RMEP,657,235906,,,FD,377652,GEN
Chhaprauli,50,6,INDU SINGH CHHAPRAULI,U,SABHP,348,200152,,,FD,317952,GEN
Bansdih,362,16,PUNAM,Z,IND,1684,209933,,,FD,385408,GEN
Saiyadraja,382,9,KUSUM,Z,IND,381,197724,,,FD,317430,GEN
Soraon ,255,11,LILAWATI CHAMAR,U,YVP,700,212679,,,FD,365730,SC
Sadabad,79,8,KUSUMA,Z,IND,238,226634,,,FD,345367,GEN
NIGHASAN,138,10,SARIKA GUPTA,Z,IND,1122,222147,,,FD,327479,GEN
Shrawasti,290,11,NEETU MISHRA,Z,IND,2352,241733,,,FD,380711,GEN
Deoband,5,8,ZAHIR FATMA,Z,IND,239,234306,,,FD,327553,GEN
Bah,94,5,MADHURI SINGH,U,BLSP,447,192786,,,FD,321282,GEN
Barhapur,19,9,SAMLESH SAINI,U,BLSP,277,222149,,,FD,338084,GEN
Gorakhpur Rural,323,2,ISHRAWATI,N,NCP,465,235963,,,FD,394330,GEN
Sandi ,158,11,URMILA DEVI,Z,IND,1456,185712,,,FD,317359,SC
