cand_id,candidate_name,ls_id,constituency,party,election_id,criminal_cases,serious_cases,total_assets_cr,liabilities_cr,education,pan_declared,source_url,scraped_date
LS2019_PC1_HAJI_FAZLUR_REHMAN,"HAJI FAZLUR REHMAN",UP-1,"Saharanpur",Bahujan Samaj Party,LS2019,,,,,,,,
LS2019_PC2_Pradeep_Kumar,"Pradeep Kumar",UP-2,"Kairana",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC3_Sanjeev_Kumar_Balyan,"Sanjeev Kumar Balyan",UP-3,"Muzaffarnagar",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC4_MALOOK_NAGAR,"MALOOK NAGAR",UP-4,"Bijnor",Bahujan Samaj Party,LS2019,,,,,,,,
LS2019_PC5_GIRISH_CHANDRA,"GIRISH CHANDRA",UP-5,"Nagina",Bahujan Samaj Party,LS2019,,,,,,,,
LS2019_PC6_Dr_S_T_HASAN,"Dr. S.T. HASAN",UP-6,"Moradabad",Samajwadi Party,LS2019,,,,,,,,
LS2019_PC7_Mohammad_Azam_Khan,"Mohammad Azam Khan",UP-7,"Rampur",Samajwadi Party,LS2019,,,,,,,,
LS2019_PC8_DR_SHAFIQUR_REHMAN_BARQ,"DR. SHAFIQUR REHMAN BARQ",UP-8,"Sambhal",Samajwadi Party,LS2019,,,,,,,,
LS2019_PC9_KUNWAR_DANISH_ALI,"KUNWAR DANISH ALI",UP-9,"Amroha",Bahujan Samaj Party,LS2019,,,,,,,,
LS2019_PC10_RAJENDRA_AGARWAL,"RAJENDRA AGARWAL",UP-10,"Meerut",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC11_Dr_SATYAPAL_SINGH,"Dr. SATYAPAL SINGH",UP-11,"Baghpat",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC12_Vijay_Kumar_Singh,"Vijay Kumar Singh",UP-12,"Ghaziabad",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC13_Dr_MAHESH_SHARMA,"Dr. MAHESH SHARMA",UP-13,"Gautam Buddha Nagar",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC14_BHOLA_SINGH,"BHOLA SINGH",UP-14,"Bulandshahr",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC15_SATISH_KUMAR_GAUTAM,"SATISH KUMAR GAUTAM",UP-15,"Aligarh",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC16_RAJVIR_DILER,"RAJVIR DILER",UP-16,"Hathras",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC17_HEMA_MALINI,"HEMA MALINI",UP-17,"Mathura",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC18_Satyapal_Singh_Baghel,"Satyapal Singh Baghel",UP-18,"Agra",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC19_RAJKUMAR_CHAHAR,"RAJKUMAR CHAHAR",UP-19,"Fatehpur Sikri",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC20_Dr_Chandra_Sen_Jadon,"Dr. Chandra Sen Jadon",UP-20,"Firozabad",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC21_MULAYAM_SINGH_YADAV,"MULAYAM SINGH YADAV",UP-21,"Mainpuri",Samajwadi Party,LS2019,,,,,,,,
LS2019_PC22_Rajveer_Singh_Raju_Bhaiya,"Rajveer Singh (Raju Bhaiya)",UP-22,"Etah",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC23_Dr_Sanghmitra_Maurya,"Dr. Sanghmitra Maurya",UP-23,"Badaun",Bharatiya Janata Party,LS2019,,,,,,,,
LS2019_PC24_DHARMENDRA_KASHYAP,"DHARMENDRA KASHYAP",UP-24,"Aonla",Bharatiya Janata Party,LS2019,,,,,,,,
