ls_id,constituency,total_valid_votes,nota_votes,registered_voters,turnout_pct,source_url,source_date
UP-1,"Saharanpur",1231746,4284,,,,
UP-2,"Kairana",1124047,3542,,,,
UP-3,"Muzaffarnagar",1160071,5110,,,,
UP-4,"Bijnor",1100763,4404,,,,
UP-5,"Nagina",1009456,6528,,,,
UP-6,"Moradabad",1282206,5757,,,,
UP-7,"Rampur",1060921,6577,,,,
UP-8,"Sambhal",1183469,7230,,,,
UP-9,"Amroha",1169182,6617,,,,
UP-10,"Meerut",1216413,6316,,,,
UP-11,"Baghpat",1044894,5041,,,,
UP-12,"Ghaziabad",1524456,7495,,,,
UP-13,"Gautam Buddha Nagar",1392952,8371,,,,
UP-14,"Bulandshahr",1123629,5719,,,,
UP-15,"Aligarh",1163184,6268,,,,
UP-16,"Hathras",1150294,8568,,,,
UP-17,"Mathura",1102731,5800,,,,
UP-18,"Agra",1145323,5817,,,,
UP-19,"Fatehpur Sikri",1037151,10692,,,,
UP-20,"Firozabad",1075866,6676,,,,
UP-21,"Mainpuri",976518,6711,,,,
UP-22,"Etah",999607,6277,,,,
UP-23,"Badaun",1081108,8606,,,,
UP-24,"Aonla",1052795,9198,,,,
UP-25,"Bareilly",1068342,3824,,,,
UP-26,"Pilibhit",1186589,9973,,,,
UP-27,"Shahjahanpur",1186157,9037,,,,
UP-28,"Kheri",1136660,8750,,,,
UP-29,"Dhaurahra",1063840,10798,,,,
UP-30,"Sitapur",1064521,8873,,,,
UP-31,"Hardoi",1057558,11024,,,,
UP-32,"Misrikh",1026668,10181,,,,
UP-33,"Unnao",1237076,11190,,,,
UP-34,"Mohanlalganj",1269040,10790,,,,
UP-35,"Lucknow",1116445,7416,,,,
UP-36,"Rae Bareli",958556,10252,,,,
UP-37,"Amethi",942453,3940,,,,
UP-38,"Sultanpur",1000316,9771,,,,
UP-39,"Pratapgarh",914665,12159,,,,
UP-40,"Farrukhabad",1002953,7437,,,,
UP-41,"Etawah",1027815,5610,,,,
UP-42,"Kannauj",1140496,8165,,,,
UP-43,"Kanpur",842994,4057,,,,
UP-44,"Akbarpur",1025314,7994,,,,
UP-45,"Jalaun",1129955,12514,,,,
UP-46,"Jhansi",1377587,18239,,,,
UP-47,"Hamirpur",1089778,15155,,,,
UP-48,"Banda",1034549,19250,,,,
UP-49,"Fatehpur",1043655,14692,,,,
UP-50,"Kaushambi",974438,14769,,,,
UP-51,"Phulpur",978236,7882,,,,
UP-52,"Allahabad",889056,7625,,,,
UP-53,"Barabanki",1155341,8785,,,,
UP-54,"Faizabad",1087121,9388,,,,
UP-55,"Ambedkar Nagar",1090152,11344,,,,
UP-56,"Bahraich",989848,13189,,,,
UP-57,"Kaiserganj",981400,13168,,,,
UP-58,"Shrawasti",997007,17108,,,,
UP-59,"Gonda",922287,8418,,,,
UP-60,"Domariyaganj",985269,11757,,,,
UP-61,"Basti",1051859,10335,,,,
UP-62,"Sant Kabir Nagar",1063390,12631,,,,
UP-63,"Maharajganj",1226916,10478,,,,
UP-64,"Gorakhpur",1183299,7688,,,,
UP-65,"Kushi Nagar",1053117,8297,,,,
UP-66,"Deoria",1015363,13421,,,,
UP-67,"Bansgaon",969136,14093,,,,
UP-68,"Lalganj",960568,5060,,,,
UP-69,"Azamgarh",1029112,7255,,,,
UP-70,"Ghosi",1140781,5324,,,,
UP-71,"Salempur",921066,7799,,,,
UP-72,"Ballia",989732,9615,,,,
UP-73,"Jaunpur",1040652,2441,,,,
UP-74,"Machhlishahr",1034925,10830,,,,
UP-75,"Ghazipur",1105627,6871,,,,
UP-76,"Chandauli",1084961,11218,,,,
UP-77,"Varanasi",1060476,4037,,,,
UP-78,"Bhadohi",1039390,9087,,,,
UP-79,"Mirzapur",1108965,15353,,,,
UP-80,"Robertsganj",988287,21118,,,,
