district,zp_ob_receipts_cr,zp_payments_cr,bp_ob_receipts_cr,bp_payments_cr,gp_ob_receipts_cr,gp_payments_cr
Agra,78.453,41.13,77.079,50.589,324.713,259.191
Aligarh,83.019,49.79,77.764,44.626,286.883,238.553
Ambedkar Nagar,86.75,24.129,87.697,47.816,298.978,193.884
Amethi,54.036,28.327,52.254,34.698,207.528,159.859
Amroha,54.477,34.143,36.179,26.984,142.452,120.712
Auraiya,61.336,23.89,37.801,27.96,150.165,111.728
Ayodhya,106.407,50.7,86.113,36.262,242.125,185.006
Azamgarh,193.449,84.665,126.847,82.29,467.276,384.172
Baghpat,57.367,20.445,32.363,19.331,120.791,97.39
Bahraich,128.168,56.654,130.568,69.527,465.477,287.572
Ballia,107.38,43.725,92.098,55.615,336.342,277.499
Balrampur,77.348,45.192,77.083,31.34,319.284,174.863
Banda,90.635,30.489,58.942,32.739,188.815,152.802
Barabanki,138.581,59.671,89.779,48.395,347.862,273.085
Bareilly,133.896,69.97,108.203,59.232,342.677,284.349
Basti,97.285,55.665,64.741,45.397,270.439,199.929
Bijnor,71.88,32.01,91.125,52.091,303.226,271.937
Budaun,124.116,32.452,91.26,54.758,317.07,262.049
Bulandshahr,77.803,54.838,87.511,52.457,301.94,255.121
Chandauli,59.584,33.689,58.557,35.311,536.091,163.947
Chitrakoot,51.403,35.692,44.031,21.413,139.994,99.071
Deoria,110.679,60.988,95.959,49.154,358.061,244.494
Etah,53.776,35.661,59.551,31.771,203.851,145.087
Etawah,62.052,22.476,38.646,22.695,179.497,126.958
Farrukhabad,113.701,32.851,59.912,24.874,181.489,132.79
Fatehpur,106.795,72.591,74.595,41.991,395.069,228.754
Firozabad,57.839,32.257,63.077,31.775,184.293,157.473
Gautam Buddha Nagar,29.246,9.369,10.856,6.632,32.014,29.267
Ghaziabad,19.223,11.009,19.052,14.28,63.106,54.936
Ghazipur,144.873,85.703,119.386,64.574,404.473,305.862
Gonda,118.278,65.681,142.317,61.111,378.876,297.27
Gorakhpur,104.299,60.676,136.25,62.806,482.921,330.673
Hamirpur,42.078,33.042,43.162,22.04,140.996,101.607
Hapur,55.573,25.21,24.236,20.1,99.727,87.61
Hardoi,155.714,101.715,108.885,66.94,436.904,330.904
Hathras,60.21,26.995,36.515,23.076,143.83,116.851
Jalaun,79.978,31.44,48.515,18.672,145.078,110.925
Jaunpur,149.482,94.028,135.868,74.1,455.251,367.956
Jhansi,109.48,20.309,57.5,31.121,174.125,128.401
Kannauj,69.373,26.334,47.519,26.622,165.822,128.459
Kanpur Dehat,74.466,32.859,56.739,32.598,219.731,161.921
Kanpur Nagar,83.266,42.973,102.936,48.31,198.214,140.836
Kasganj,60.703,24.197,49.539,15.354,217.131,113.557
Kaushambi,75.183,20.98,52.011,21.806,187.13,127.3
Kheri,108.843,77.282,149.154,74.744,436.31,336.292
Kushi Nagar,140.583,30.892,94.835,60.274,366.863,261.115
Lalitpur,48.297,28.824,42.798,25.197,165.32,126.391
Lucknow,60.116,15.502,45.21,23.996,119203.297,117.372
Maharajganj,103.441,36.163,68.863,51.978,304.096,226.861
Mahoba,62.438,24.4,2199.009,15.391,110.04,75.261
Mainpuri,84.885,31.356,307.93,33.087,77302.57,145.969
Mathura,66.954,37.07,46.762,29.263,187.067,162.482
Mau,67.906,30.55,50.034,30.315,183.978,143.412
Meerut,68.773,36.578,61.226,31.591,175.551,150.952
Mirzapur,104.922,48.043,70.103,43.859,267.635,217.186
Moradabad,86.687,53.834,67.771,35.635,213.066,176.172
Muzaffarnagar,73.683,35.588,70.462,43.847,207.578,181.522
Pilibhit,65.791,32.091,60.638,29.087,1284.003,165.867
Pratapgarh,96.422,44.647,117.628,66.81,548.752,266.484
Prayagraj,217.09,87.172,153.669,75.459,30631.32,391.28
Rae Bareli,198.061,36.555,116.224,54.186,317.744,228.409
Rampur,74.136,42.498,55.297,30.933,212.84,164.871
Saharanpur,209.341,79.101,75.054,46.829,262.349,227.161
Sambhal,71.396,32.068,65.283,36.525,244.284,157.032
Sant Kabeer Nagar,55.846,30.212,61.97,24.802,186.669,132.43
Sant Ravidas Nagar,57.66,18.91,38.123,25.172,145.768,125.452
Shahjahanpur,90.215,53.768,86.151,44.985,304.923,227.188
Shamli,33.488,19.265,34.784,17.78,105.024,84.668
Shravasti,55.656,27.137,47.658,16.644,131.99,104.05
Siddharth Nagar,99.904,62.014,81.476,39.738,3520.586,207.37
Sitapur,152.06,49.055,148.174,66.378,629.297,373.329
Sonbhadra,143.436,74.038,70.504,42.226,265.475,183.239
Sultanpur,92.613,39.174,67.411,41.968,263.308,215.497
Unnao,98.112,39.101,106.156,42.57,353.488,243.102
Varanasi,105.064,30.866,63.262,42.395,219.195,176.394
