district,sanctioned_lakhs,expenditure_lakhs,source
Amethi,2392.72,773.8,PFMS-WDCPMKSY
AMROHA,1118.04,259.03,PFMS-WDCPMKSY
AZAMGARH,1088.56,296.93,PFMS-WDCPMKSY
BAGHPAT,2200.0,624.01,PFMS-WDCPMKSY
BAREILLY,2178.66,370.89,PFMS-WDCPMKSY
BIJNOR,2209.46,769.2,PFMS-WDCPMKSY
BUDAUN,2200.0,453.14,PFMS-WDCPMKSY
BULANDSHAHR,1090.76,360.0,PFMS-WDCPMKSY
CHITRAKOOT,1276.0,452.53,PFMS-WDCPMKSY
DEORIA,1034.0,344.15,PFMS-WDCPMKSY
ETAH,1100.0,355.19,PFMS-WDCPMKSY
ETAWAH,1067.0,322.88,PFMS-WDCPMKSY
FATEHPUR,1644.72,488.8,PFMS-WDCPMKSY
HAMIRPUR,2290.2,573.22,PFMS-WDCPMKSY
HAPUR,2061.4,611.56,PFMS-WDCPMKSY
JAUNPUR,2229.04,643.7,PFMS-WDCPMKSY
KANNAUJ,902.0,332.81,PFMS-WDCPMKSY
KANPUR NAGAR,2200.0,387.58,PFMS-WDCPMKSY
KAUSHAMBI,1201.2,308.52,PFMS-WDCPMKSY
KUSHI NAGAR,1201.2,394.04,PFMS-WDCPMKSY
LUCKNOW,1100.0,831.66,PFMS-WDCPMKSY
MAHOBA,2156.0,720.35,PFMS-WDCPMKSY
MAINPURI,1067.0,271.62,PFMS-WDCPMKSY
MATHURA,1155.0,280.12,PFMS-WDCPMKSY
MIRZAPUR,2420.0,324.58,PFMS-WDCPMKSY
MORADABAD,1109.24,332.89,PFMS-WDCPMKSY
PRATAPGARH,2219.14,543.18,PFMS-WDCPMKSY
PRAYAGRAJ,2264.24,951.81,PFMS-WDCPMKSY
RAE BARELI,1110.34,274.14,PFMS-WDCPMKSY
RAMPUR,1071.84,280.33,PFMS-WDCPMKSY
SAHARANPUR,2301.2,679.85,PFMS-WDCPMKSY
SAMBHAL,2192.3,697.0,PFMS-WDCPMKSY
SONBHADRA,2915.0,975.85,PFMS-WDCPMKSY
VARANASI,2301.2,586.12,PFMS-WDCPMKSY
Grand Total,58067.46,16871.49,PFMS-WDCPMKSY
