scheme,district,sanctioned_lakhs,expenditure_lakhs,utilization_pct
WDC-PMKSY,Amethi,"2,392.72",773.8,32.34
WDC-PMKSY,AMROHA,"1,118.04",259.03,23.17
WDC-PMKSY,AZAMGARH,"1,088.56",296.93,27.28
WDC-PMKSY,BAGHPAT,"2,200.00",624.01,28.36
WDC-PMKSY,BAREILLY,"2,178.66",370.89,17.02
WDC-PMKSY,BIJNOR,"2,209.46",769.2,34.81
WDC-PMKSY,BUDAUN,"2,200.00",453.14,20.6
WDC-PMKSY,BULANDSHAHR,"1,090.76",360,33.0
WDC-PMKSY,CHITRAKOOT,"1,276.00",452.53,35.46
WDC-PMKSY,DEORIA,"1,034.00",344.15,33.28
WDC-PMKSY,ETAH,"1,100.00",355.19,32.29
WDC-PMKSY,ETAWAH,"1,067.00",322.88,30.26
WDC-PMKSY,FATEHPUR,"1,644.72",488.8,29.72
WDC-PMKSY,HAMIRPUR,"2,290.20",573.22,25.03
WDC-PMKSY,HAPUR,"2,061.40",611.56,29.67
WDC-PMKSY,JAUNPUR,"2,229.04",643.7,28.88
WDC-PMKSY,KANNAUJ,902.00,332.81,36.9
WDC-PMKSY,KANPUR NAGAR,"2,200.00",387.58,17.62
WDC-PMKSY,KAUSHAMBI,"1,201.20",308.52,25.68
WDC-PMKSY,KUSHI NAGAR,"1,201.20",394.04,32.8
WDC-PMKSY,LUCKNOW,"1,100.00",831.66,75.61
WDC-PMKSY,MAHOBA,"2,156.00",720.35,33.41
WDC-PMKSY,MAINPURI,"1,067.00",271.62,25.46
WDC-PMKSY,MATHURA,"1,155.00",280.12,24.25
WDC-PMKSY,MIRZAPUR,"2,420.00",324.58,13.41
WDC-PMKSY,MORADABAD,"1,109.24",332.89,30.01
WDC-PMKSY,PRATAPGARH,"2,219.14",543.18,24.48
WDC-PMKSY,PRAYAGRAJ,"2,264.24",951.81,42.04
WDC-PMKSY,RAE BARELI,"1,110.34",274.14,24.69
WDC-PMKSY,RAMPUR,"1,071.84",280.33,26.15
WDC-PMKSY,SAHARANPUR,"2,301.20",679.85,29.54
WDC-PMKSY,SAMBHAL,"2,192.30",697,31.79
WDC-PMKSY,SONBHADRA,"2,915.00",975.85,33.48
WDC-PMKSY,VARANASI,"2,301.20",586.12,25.47
WDC-PMKSY,Grand Total,"58,067.46","16,871.49",29.05
