pc_code,constituency,candidate,party,evm_votes,postal_votes,total_votes
1,"Saharanpur","IMRAN MASOOD","Indian National Congress",206908,160,207068
1,"Saharanpur","HAJI FAZLUR REHMAN","Bahujan Samaj Party",513268,871,514139
1,"Saharanpur","RAGHAV LAKHANPAL","Bharatiya Janata Party",489942,1780,491722
1,"Saharanpur","MOHD. UVAIS","Pragatishil Samajwadi Party (Lohia)",2437,1,2438
1,"Saharanpur","PAWAN KUMAR","Aapki Apni Party (Peoples)",726,1,727
1,"Saharanpur","BRAJPAL SINGH","Hindusthan Nirman Dal",1224,1,1225
1,"Saharanpur","YOGESH DAHIYA","Aam Aadmi Party",1444,5,1449
1,"Saharanpur","RAVINDER KUMAR","Inqalab Vikas Dal",718,0,718
1,"Saharanpur","AMAR BAHADUR","Independent",1090,1,1091
1,"Saharanpur","INDU DEVI","Independent",2197,2,2199
1,"Saharanpur","SHABNAM","Independent",4684,2,4686
1,"Saharanpur","NOTA","None of the Above",4277,7,4284
2,"Kairana","Tabassum Begum","Samajwadi Party",474339,462,474801
2,"Kairana","Pradeep Kumar","Bharatiya Janata Party",564380,2581,566961
2,"Kairana","Harendra Singh Malik","Indian National Congress",69245,110,69355
2,"Kairana","Manoj Kumar","Aapki Apni Party (Peoples)",908,5,913
2,"Kairana","Mukesh Devi","Mahasankalp Janta Party",932,2,934
2,"Kairana","Yogesh Kumar","Rashtriya Mazdoor Ekta Party",818,0,818
2,"Kairana","Rekha","Hindusthan Nirman Dal",615,0,615
2,"Kairana","Sheshraj","Bharatrashtra Democratic Party",472,0,472
2,"Kairana","Shripal Singh","Sarvjan Lok Shakti Party",1302,2,1304
2,"Kairana","Imran","Independent",523,1,524
2,"Kairana","Mohd Gufran Kazmi","Independent",539,1,540
2,"Kairana","Mohd Saleem","Independent",1138,0,1138
2,"Kairana","Harish Kumar","Independent",2128,2,2130
2,"Kairana","NOTA","None of the Above",3524,18,3542
3,"Muzaffarnagar","Ajit Singh","Rashtriya Lok Dal",565753,1501,567254
3,"Muzaffarnagar","Sanjeev Kumar Balyan","Bharatiya Janata Party",569535,4245,573780
3,"Muzaffarnagar","Krishan Pal Singh","Bharat Lok Sewak Party",2406,16,2422
3,"Muzaffarnagar","S.S.K.S. Gangwal","Bharatiya Bahujan Samta Party",1215,47,1262
3,"Muzaffarnagar","Jaipal Singh Saini","Jansatta Party",945,4,949
3,"Muzaffarnagar","Mangeram Kashyap","Majdoor Kisan Union Party",686,1,687
3,"Muzaffarnagar","Ashok","Independent",453,5,458
3,"Muzaffarnagar","Ankit","Independent",550,7,557
3,"Muzaffarnagar","Neel Kumar","Independent",4884,3,4887
3,"Muzaffarnagar","Yajpal Singh Rathi","Independent",2704,1,2705
3,"Muzaffarnagar","NOTA","None of the Above",5061,49,5110
4,"Bijnor","NASIMUDDIN SIDDIQUI","Indian National Congress",25699,134,25833
4,"Bijnor","RAJA BHARATENDRA SINGH","Bharatiya Janata Party",488061,3043,491104
4,"Bijnor","MALOOK NAGAR","Bahujan Samaj Party",559824,1221,561045
4,"Bijnor","ILAMSINGH","Pragatishil Samajwadi Party (Lohia)",3970,9,3979
4,"Bijnor","ANSH CHAITANYA MAHARAJ","Hindusthan Nirman Dal",1160,2,1162
4,"Bijnor","PARVEZ AKIL","All India Minorities Front",629,0,629
4,"Bijnor","BABLOO RAM","Bharatiya Sarvodaya Kranti Party",827,2,829
4,"Bijnor","MANGERAM","Peoples Party of India (Democratic)",842,1,843
4,"Bijnor","MUKESH KUMAR","All India Forward Bloc",2817,0,2817
4,"Bijnor","RAJIV CHOUDHARY","Bhartiya Kisan Party",1078,7,1085
4,"Bijnor","SONU","Jansatta Party",1535,0,1535
4,"Bijnor","MOHD. ZAHID","Independent",3237,1,3238
4,"Bijnor","MAHAK SINGH","Independent",2260,0,2260
4,"Bijnor","NOTA","None of the Above",4374,30,4404
5,"Nagina","OMVATI DEVI","Indian National Congress",19967,79,20046
5,"Nagina","GIRISH CHANDRA","Bahujan Samaj Party",567195,1183,568378
5,"Nagina","DR. YASHWANT SINGH","Bharatiya Janata Party",399348,2198,401546
5,"Nagina","AMICHAND","Rashtriya Samanta Dal",6154,2,6156
5,"Nagina","KAMESH KUMAR","Peoples Party of India (Democratic)",1751,1,1752
5,"Nagina","TEJ SINGH","Ambedkar Samaj Party",2165,4,2169
5,"Nagina","CHARAN SINGH","Independent",2877,4,2881
5,"Nagina","NOTA","None of the Above",6498,30,6528
6,"Moradabad","IMRAN PRATAPGARHI","Indian National Congress",59117,81,59198
6,"Moradabad","KUNWAR SARVESH KUMAR","Bharatiya Janata Party",549729,1809,551538
6,"Moradabad","Dr. S.T. HASAN","Samajwadi Party",648817,599,649416
6,"Moradabad","MOHD. ASLAM URF PASHA","Jan Shakti Dal",4593,1,4594
6,"Moradabad","Tej Singh Seny","Rashtriya Samanta Dal",761,1,762
6,"Moradabad","DILERAM","Bhartiya Harit Party",1886,0,1886
6,"Moradabad","NADIR ALI MANSOORI","Peace Party",1046,5,1051
6,"Moradabad","BHISHM JIT SINGH","Fauji Janta Party",560,4,564
6,"Moradabad","ROOPCHAND SINGH","Bharatiya Bahujan Samta Party",931,17,948
6,"Moradabad","AKEEL","Independent",890,0,890
6,"Moradabad","NARESH KUMAR SAINI","Independent",911,1,912
6,"Moradabad","PRINCE KUMAR SHARMA","Independent",2271,2,2273
6,"Moradabad","MUSARRAT HUSAIN","Independent",2417,0,2417
6,"Moradabad","NOTA","None of the Above",5740,17,5757
7,"Rampur","Jayaprada Nahata","Bharatiya Janata Party",448630,550,449180
7,"Rampur","Mohammad Azam Khan","Samajwadi Party",559018,159,559177
7,"Rampur","Sanjay Kapoor","Indian National Congress",34965,44,35009
7,"Rampur","Arshad Warsi","Minorities Democratic Party",1070,0,1070
7,"Rampur","Ishrat Khan","All India Minorities Front",499,0,499
7,"Rampur","Mohd. Khushi","United Democratic Front Secular",451,0,451
7,"Rampur","Saroj","Peoples Party of India (Democratic)",647,5,652
7,"Rampur","Javed Khan","Independent",1963,0,1963
7,"Rampur","Naim","Independent",1518,0,1518
7,"Rampur","Sameena Begum","Independent",2122,0,2122
7,"Rampur","Haneef Khan","Independent",2703,0,2703
7,"Rampur","NOTA","None of the Above",6575,2,6577
8,"Sambhal","MAJOR JAGAT PAL SINGH","Indian National Congress",12076,29,12105
8,"Sambhal","PARAMESHVAR LAL SAINI","Bharatiya Janata Party",482466,714,483180
8,"Sambhal","DR. SHAFIQUR REHMAN BARQ","Samajwadi Party",657505,501,658006
8,"Sambhal","ILYAS","Bhartiya Hind Fauj",4081,0,4081
8,"Sambhal","KARAN SINGH YADAV","Pragatishil Samajwadi Party (Lohia)",4195,3,4198
8,"Sambhal","BHOJRAJ","Swatantra Jantaraj Party",746,0,746
8,"Sambhal","RAM CHANDRA","Bharat Prabhat Party",645,0,645
8,"Sambhal","SHAHLA WAJID","Ambedkar Samaj Party",1044,4,1048
8,"Sambhal","HASAN RAZA","Rashtriya Ulama Council",1227,0,1227
8,"Sambhal","FIROZ KHAN","Independent",2733,1,2734
8,"Sambhal","MOHD. MASROOR","Independent",3628,0,3628
8,"Sambhal","VIRENDRA KUMAR PRAJAPATI","Independent",4637,4,4641
8,"Sambhal","NOTA","None of the Above",7226,4,7230
9,"Amroha","KANWAR SINGH TANWAR","Bharatiya Janata Party",536380,1454,537834
9,"Amroha","KUNWAR DANISH ALI","Bahujan Samaj Party",600744,338,601082
9,"Amroha","SACHIN CHOUDHARY","Indian National Congress",12454,56,12510
9,"Amroha","MATLOOB AHMAD","Pragatishil Samajwadi Party (Lohia)",946,8,954
9,"Amroha","RAJPAL SINGH SAINI","Jan Shakti Dal",1163,1,1164
9,"Amroha","AKHTAR","Independent",978,1,979
9,"Amroha","NARESH KUMAR","Independent",944,1,945
9,"Amroha","RAJPAL SINGH","Independent",1390,2,1392
9,"Amroha","(KUNWAR) ROBIN TYAGI","Independent",2055,1,2056
9,"Amroha","VIKAR AHMAD","Independent",3649,0,3649
9,"Amroha","NOTA","None of the Above",6605,12,6617
10,"Meerut","HAJI MOHAMMAD YAQOOB","Bahujan Samaj Party",580597,858,581455
10,"Meerut","RAJENDRA AGARWAL","Bharatiya Janata Party",582976,3208,586184
10,"Meerut","HARENDRA AGARWAL","Indian National Congress",34301,178,34479
10,"Meerut","AFZAL","Bahujan Maha Party",877,5,882
10,"Meerut","ARTI AGARWAL","Shivsena",946,11,957
10,"Meerut","KIRAN R. C. JATAV","Kartavya Rashtriya Party",500,12,512
10,"Meerut","DHARMENDRA","Bhartiya Janta Dal",479,10,489
10,"Meerut","NASIR ALI KHAN","Pragatishil Samajwadi Party (Lohia)",918,3,921
10,"Meerut","RAJESH GIRI","Sarvodaya Bharat Party",976,2,978
10,"Meerut","SHRAVAN KUMAR AGARWAL","Independent",1022,3,1025
10,"Meerut","SAHANSAR PAL SINGH","Independent",2213,2,2215
10,"Meerut","NOTA","None of the Above",6271,45,6316
11,"Baghpat","JAYANT CHAUDHARY","Rashtriya Lok Dal",500794,1493,502287
11,"Baghpat","Dr. SATYAPAL SINGH","Bharatiya Janata Party",519631,6158,525789
11,"Baghpat","ISTAKAR ALI","National Lokmat Party",1598,30,1628
11,"Baghpat","UTTAR KUMAR JINDAL","Bhartiya Naujawan Inklav Party",915,17,932
11,"Baghpat","DEVENDER","Aapki Apni Party (Peoples)",654,7,661
11,"Baghpat","PARVEEN YOGI","Bhartiya Nojawan Dal",1042,5,1047
11,"Baghpat","MANOJ RANA","Akhil Bhartiya Lok Dal",495,8,503
11,"Baghpat","CHAUDHARY MOHKAM","Pragatishil Samajwadi Party (Lohia)",685,22,707
11,"Baghpat","RAMKUMAR","Sarvjan Lok Shakti Party",1246,4,1250
